iter	RMSE
0	4.49185325
1	4.390347931
2	4.308810188
3	4.227690522
4	4.133931488
5	4.060215196
6	3.981460858
7	3.911929726
8	3.84502258
9	3.774729723
10	3.705077604
11	3.630571289
12	3.570568805
13	3.500622567
14	3.436354436
15	3.376223156
16	3.317932234
17	3.257063529
18	3.196011461
19	3.137206749
20	3.080082583
21	3.031042087
22	2.98240839
23	2.935285804
24	2.888878602
25	2.837255167
26	2.798015962
27	2.744688236
28	2.701473348
29	2.65755655
30	2.617336312
31	2.57719149
32	2.538315341
33	2.506380109
34	2.471636279
35	2.436364534
36	2.403704795
37	2.372060561
38	2.348263547
39	2.313413501
40	2.282180821
41	2.253836232
42	2.224038567
43	2.197352359
44	2.175791568
45	2.142847942
46	2.1193836
47	2.094340748
48	2.071295968
49	2.046145595
50	2.017391923
51	1.995789297
52	1.976390879
53	1.958566894
54	1.924061301
55	1.90093197
56	1.878118809
57	1.861406156
58	1.842234534
59	1.823788655
60	1.804395527
61	1.782772598
62	1.759201023
63	1.740683243
64	1.723884079
65	1.709106062
66	1.690513499
67	1.676247921
68	1.660987321
69	1.648188347
70	1.628922812
71	1.607774934
72	1.594626042
73	1.580484378
74	1.566110181
75	1.553251758
76	1.535639962
77	1.519324681
78	1.501012577
79	1.483320795
80	1.473637555
81	1.464558137
82	1.455959625
83	1.442440289
84	1.429007433
85	1.422109499
86	1.413254375
87	1.404942207
88	1.392200983
89	1.383656902
90	1.371254302
91	1.361404901
92	1.352375027
93	1.338187838
94	1.328492536
95	1.320026107
96	1.30903289
97	1.302246063
98	1.294177905
99	1.287965681
100	1.281029159
101	1.275525757
102	1.267355451
103	1.260969371
104	1.250378002
105	1.240781339
106	1.232464964
107	1.225050168
108	1.215930219
109	1.210132473
110	1.204619774
111	1.194969048
112	1.190224891
113	1.185433827
114	1.175765241
115	1.166407739
116	1.158488415
117	1.155120658
118	1.150508253
119	1.141626176
120	1.136888777
121	1.131044416
122	1.125516808
123	1.120390949
124	1.117035914
125	1.112994845
126	1.106507919
127	1.098470931
128	1.092131611
129	1.084148644
130	1.081177922
131	1.074366236
132	1.068858796
133	1.065405328
134	1.060951543
135	1.057749667
136	1.053730453
137	1.045902936
